,Titles,Actors,Year_produced,Ratings
88,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",(1968),8.273505408025542
89,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",(2000),8.269918325395672
90,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",(1958),8.269876833365323
91,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",(1931),8.268461049446104
92,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",(2016),8.265491665768739
93,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",(2004),8.260660031844449
94,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",(1941),8.258819513432716
95,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",(2012),8.258332891554316
96,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",(2018),8.257359406296407
97,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",(1987),8.252604202565221
98,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",(1959),8.250346169056627
99,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",(1971),8.249640501389036
100,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",(1921),8.24840412042799
101,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",(2000),8.248126762075081
102,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",(1948),8.248123685075402
103,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",(1952),8.24520423471491
104,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",(1983),8.243630769180553
105,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",(1976),8.24207551836271
106,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",(2001),8.239332213355077
107,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",(1962),8.23909803934719
108,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",(1973),8.23656633948305
109,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",(2010),8.23601000834487
110,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",(1927),8.231364805902784
111,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",(1952),8.231257336683438
112,Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",(1965),8.230722197120487
113,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",(2011),8.229044129949257
114,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",(1944),8.223244788850199
115,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",(1960),8.221071659369667
116,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",(1962),8.219271500184162
117,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",(2010),8.218612486950109
118,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",(1989),8.2136617271972
119,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",(2009),8.210974977294944
120,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",(1997),8.206195547904342
121,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",(1995),8.202153157495465
122,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",(1975),8.202140093289753
123,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",(1988),8.195369190343095
124,Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",(1950),8.195173427536565
125,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",(1961),8.193698334175767
126,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",(2005),8.191669845600746
127,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",(2018),8.187181134923442
128,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",(1985),8.186804023351034
129,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",(2004),8.186384392216423
130,Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",(1997),8.185693536546298
131,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",(1992),8.185454418523012
132,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",(1959),8.17661321304254
133,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",(2004),8.172228317543448
134,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",(1985),8.170010460246255
135,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",(1963),8.164872373951528
136,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",(1950),8.162092761888115
137,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",(2001),8.161503298615825
138,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",(1995),8.1600687934145
139,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",(2006),8.156367088667118
140,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",(1988),8.15390352002749
141,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",(2009),8.153200022926923
142,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",(1998),8.151250299762124
143,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",(1980),8.151246324070542
144,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",(2013),8.150466753652072
145,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",(1948),8.141908226824285
146,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",(1961),8.141862465427185
147,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",(2007),8.138588273713001
148,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",(2005),8.13629651420669
149,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",(2017),8.134591672625525
150,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",(1925),8.133028794511821
151,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",(1974),8.132553171026094
152,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",(1954),8.131851788532938
153,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",(2005),8.125591867391327
154,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",(1957),8.125387410317474
155,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",(2007),8.124013624569264
156,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",(2015),8.123755389926679
157,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",(2011),8.122270766877971
158,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",(2010),8.119944940909214
159,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",(1996),8.117888364797352
160,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",(1980),8.11725906677054
161,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",(1999),8.114343677672917
162,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",(1982),8.113147235565155
163,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",(2015),8.109643427791928
164,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",(1939),8.108855317159586
165,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",(1993),8.10721170626672
166,Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",(1957),8.105928269285732
